Title,Description,Amount(in rupees),Price (in rupees),location,Carpet Area,Status,Floor,Transaction,Furnishing,facing,overlooking,Society,Bathroom,Balcony,Car Parking,Ownership,Super Area,Dimensions,Plot Area
Property 1238,A nice property,47 Lac,4788976,Chandigarh,3904 sqft,Under Construction,13,Under Construction,Semi-Furnished,North,Main Road,Society 48,3.0,0.0,3.0,Freehold,1130 sqft,NA,2418 sqft
Property 1239,A nice property,50 Lac,5045760,Delhi,1711 sqft,Ready,6,Under Construction,Furnished,West,NA,Society 40,1.0,3.0,0.0,Leasehold,3033 sqft,NA,809 sqft
Property 1240,A nice property,28 Lac,2816435,Kolkata,4894 sqft,Ready,1,Ready to Move,Semi-Furnished,West,Park,Society 16,2.0,2.0,0.0,Leasehold,1511 sqft,NA,3308 sqft
Property 1241,A nice property,64 Lac,6401776,Ludhiana,837 sqft,Under Construction,16,Under Construction,Furnished,North,Main Road,Society 8,3.0,2.0,0.0,Freehold,2634 sqft,NA,NA
Property 1242,A nice property,1.0 Cr,10483278,Mumbai,2023 sqft,Ready,7,Under Construction,Semi-Furnished,West,Main Road,Society 50,4.0,1.0,3.0,Leasehold,3968 sqft,NA,3869 sqft
Property 1243,A nice property,1.4 Cr,13807387,Bangalore,2179 sqft,Under Construction,5,Ready to Move,Unfurnished,West,Park,Society 33,1.0,,2.0,Leasehold,4678 sqft,NA,NA
Property 1244,A nice property,50 Lac,5037008,Indore,2244 sqft,Under Construction,Ground,Under Construction,Semi-Furnished,South,Main Road,Society 22,2.0,2.0,2.0,Freehold,4430 sqft,NA,3678 sqft
Property 1245,A nice property,58 Lac,5830237,Ahmedabad,1072 sqft,Under Construction,6,Ready to Move,Unfurnished,West,Park,Society 17,3.0,3.0,0.0,Freehold,4658 sqft,NA,NA
Property 1246,A nice property,1.1 Cr,10562924,Pune,2643 sqft,Ready,7,Under Construction,Furnished,South,Park,Society 4,2.0,2.0,1.0,Leasehold,3810 sqft,NA,2945 sqft
Property 1247,A nice property,20 Lac,2066809,Ghaziabad,870 sqft,Under Construction,3,Under Construction,Semi-Furnished,North,NA,Society 13,5.0,3.0,3.0,Leasehold,4686 sqft,NA,994 sqft
Property 1248,A nice property,28 Lac,2860219,Kolkata,4339 sqft,Under Construction,15,Under Construction,Unfurnished,East,NA,NA,1.0,2.0,0.0,Leasehold,5666 sqft,NA,1026 sqft
Property 1249,A nice property,1.4 Cr,13580143,Delhi,1014 sqft,Resale,24,Under Construction,Unfurnished,North,NA,NA,5.0,3.0,3.0,Leasehold,3659 sqft,NA,2196 sqft
Property 1250,A nice property,22 Lac,2268312,Vadodara,3552 sqft,Resale,14,Ready to Move,Furnished,West,Main Road,Society 43,,0.0,0.0,Leasehold,5451 sqft,NA,687 sqft
Property 1251,A nice property,63 Lac,6361435,Kolkata,2231 sqft,Ready,8,Under Construction,Semi-Furnished,South,Park,NA,,,3.0,Freehold,5973 sqft,NA,4225 sqft
Property 1252,A nice property,56 Lac,5615832,Ghaziabad,2844 sqft,Resale,19,Under Construction,Unfurnished,North,NA,Society 38,3.0,0.0,,Leasehold,2352 sqft,NA,3625 sqft
Property 1253,A nice property,79 Lac,7979348,Kolkata,3617 sqft,Ready,21,Ready to Move,Furnished,South,Main Road,NA,3.0,1.0,2.0,Freehold,1753 sqft,NA,3520 sqft
Property 1254,A nice property,56 Lac,5687096,Ahmedabad,4402 sqft,Under Construction,16,Ready to Move,Unfurnished,South,Main Road,Society 25,2.0,3.0,0.0,Leasehold,1786 sqft,NA,3696 sqft
Property 1255,A nice property,77 Lac,7735076,Indore,4737 sqft,Resale,12,Under Construction,Furnished,South,Main Road,NA,3.0,2.0,,Freehold,2922 sqft,NA,2513 sqft
Property 1256,A nice property,88 Lac,8858756,Pune,3851 sqft,Ready,6,Ready to Move,Semi-Furnished,East,Park,Society 31,3.0,2.0,2.0,Leasehold,5627 sqft,NA,4992 sqft
Property 1257,A nice property,30 Lac,3049616,Ludhiana,1614 sqft,Under Construction,14,Under Construction,Furnished,East,Main Road,NA,1.0,3.0,3.0,Leasehold,3837 sqft,NA,NA
Property 1258,A nice property,1.2 Cr,12232577,Mumbai,850 sqft,Resale,24,Ready to Move,Furnished,South,NA,Society 6,4.0,1.0,0.0,Freehold,4627 sqft,NA,NA
Property 1259,A nice property,54 Lac,5451886,Jaipur,2581 sqft,Resale,5,Under Construction,Semi-Furnished,North,Park,Society 8,4.0,2.0,3.0,Freehold,2486 sqft,NA,NA
Property 1260,A nice property,57 Lac,5700624,Pune,3651 sqft,Ready,Ground,Ready to Move,Unfurnished,West,Main Road,Society 9,3.0,2.0,3.0,Leasehold,4533 sqft,NA,3018 sqft
Property 1261,A nice property,86 Lac,8637400,Pune,4604 sqft,Under Construction,1,Under Construction,Furnished,East,NA,Society 7,1.0,2.0,0.0,Leasehold,1351 sqft,NA,2473 sqft
Property 1262,A nice property,70 Lac,7008850,Vadodara,4254 sqft,Resale,14,Ready to Move,Furnished,North,Park,Society 20,4.0,2.0,1.0,Leasehold,5527 sqft,NA,3720 sqft
Property 1263,A nice property,27 Lac,2725679,Jaipur,2054 sqft,Under Construction,Ground,Ready to Move,Unfurnished,East,NA,Society 2,2.0,1.0,0.0,Freehold,4154 sqft,NA,NA
Property 1264,A nice property,48 Lac,4800044,Chennai,4487 sqft,Under Construction,10,Under Construction,Semi-Furnished,West,Park,Society 20,5.0,,,Freehold,4563 sqft,NA,4639 sqft
Property 1265,A nice property,61 Lac,6159163,Hyderabad,3465 sqft,Resale,5,Ready to Move,Semi-Furnished,North,NA,Society 43,2.0,0.0,2.0,Freehold,3269 sqft,NA,4486 sqft
Property 1266,A nice property,1.6 Cr,15544569,Mumbai,3420 sqft,Under Construction,6,Under Construction,Unfurnished,East,Park,Society 11,4.0,3.0,1.0,Freehold,3390 sqft,NA,956 sqft
Property 1267,A nice property,63 Lac,6319499,Pune,1939 sqft,Ready,15,Under Construction,Furnished,West,NA,Society 34,4.0,3.0,0.0,Freehold,4399 sqft,NA,2136 sqft
Property 1268,A nice property,1.2 Cr,11602206,Mumbai,2718 sqft,Resale,10,Ready to Move,Semi-Furnished,South,NA,Society 42,4.0,2.0,3.0,Freehold,5472 sqft,NA,611 sqft
Property 1269,A nice property,53 Lac,5386508,Nagpur,1340 sqft,Ready,20,Under Construction,Semi-Furnished,North,NA,NA,1.0,,,Leasehold,1668 sqft,NA,3508 sqft
Property 1270,A nice property,56 Lac,5661495,Ahmedabad,2935 sqft,Resale,11,Under Construction,Semi-Furnished,South,NA,NA,5.0,0.0,0.0,Freehold,1782 sqft,NA,2714 sqft
Property 1271,A nice property,48 Lac,4826925,Ghaziabad,824 sqft,Ready,16,Under Construction,Furnished,North,NA,NA,4.0,0.0,2.0,Freehold,946 sqft,NA,1062 sqft
Property 1272,A nice property,26 Lac,2674653,Indore,3766 sqft,Under Construction,7,Ready to Move,Unfurnished,South,Main Road,Society 41,2.0,2.0,2.0,Freehold,5654 sqft,NA,2395 sqft
Property 1273,A nice property,2.4 Cr,24357543,Mumbai,1006 sqft,Under Construction,17,Under Construction,Semi-Furnished,East,NA,Society 9,,0.0,1.0,Freehold,3204 sqft,NA,3214 sqft
Property 1274,A nice property,61 Lac,6104000,Chennai,1934 sqft,Ready,12,Under Construction,Furnished,West,Park,Society 45,4.0,3.0,1.0,Freehold,3440 sqft,NA,NA
Property 1275,A nice property,36 Lac,3685404,Jaipur,2355 sqft,Under Construction,14,Under Construction,Semi-Furnished,West,Main Road,NA,1.0,0.0,,Freehold,2862 sqft,NA,1202 sqft
Property 1276,A nice property,73 Lac,7303527,Bangalore,2413 sqft,Ready,Ground,Ready to Move,Furnished,North,Main Road,Society 14,3.0,2.0,1.0,Leasehold,895 sqft,NA,4611 sqft
Property 1277,A nice property,69 Lac,6959915,Pune,2444 sqft,Resale,Ground,Under Construction,Furnished,East,Park,Society 31,3.0,2.0,3.0,Freehold,2037 sqft,NA,4324 sqft
Property 1278,A nice property,26 Lac,2699996,Surat,2293 sqft,Resale,16,Under Construction,Furnished,South,Main Road,Society 24,4.0,,2.0,Freehold,5108 sqft,NA,1501 sqft
Property 1279,A nice property,71 Lac,7153037,Kochi,2804 sqft,Under Construction,19,Under Construction,Unfurnished,West,Main Road,Society 19,3.0,,3.0,Leasehold,5816 sqft,NA,NA
Property 1280,A nice property,1.2 Cr,11732456,Hyderabad,3954 sqft,Under Construction,2,Under Construction,Semi-Furnished,East,Park,Society 13,4.0,1.0,0.0,Freehold,2975 sqft,NA,NA
Property 1281,A nice property,98 Lac,9859413,Delhi,4804 sqft,Resale,Ground,Under Construction,Furnished,North,NA,Society 16,4.0,1.0,0.0,Freehold,3142 sqft,NA,1151 sqft
Property 1282,A nice property,67 Lac,6776114,Visakhapatnam,764 sqft,Under Construction,19,Ready to Move,Furnished,South,Park,Society 6,3.0,3.0,2.0,Leasehold,2366 sqft,NA,NA
Property 1283,A nice property,40 Lac,4063405,Chandigarh,672 sqft,Resale,25,Ready to Move,Semi-Furnished,South,Main Road,NA,2.0,3.0,0.0,Freehold,5286 sqft,NA,NA
Property 1284,A nice property,29 Lac,2970737,Nagpur,4483 sqft,Resale,9,Under Construction,Semi-Furnished,North,NA,Society 20,4.0,1.0,2.0,Leasehold,5028 sqft,NA,NA
Property 1285,A nice property,40 Lac,4007305,Kochi,1683 sqft,Ready,25,Under Construction,Unfurnished,East,Park,Society 8,,3.0,,Freehold,1832 sqft,NA,NA
Property 1286,A nice property,47 Lac,4735995,Ghaziabad,2018 sqft,Ready,17,Ready to Move,Furnished,North,Main Road,Society 25,1.0,0.0,,Freehold,3788 sqft,NA,1188 sqft
Property 1287,A nice property,63 Lac,6308935,Hyderabad,669 sqft,Resale,21,Ready to Move,Semi-Furnished,South,Park,NA,5.0,1.0,0.0,Leasehold,5516 sqft,NA,3253 sqft
Property 1288,A nice property,79 Lac,7982695,Chandigarh,2433 sqft,Resale,23,Ready to Move,Semi-Furnished,West,Park,Society 19,,0.0,2.0,Freehold,4360 sqft,NA,3055 sqft
Property 1289,A nice property,61 Lac,6101275,Kochi,2667 sqft,Ready,13,Under Construction,Semi-Furnished,East,Park,NA,,,1.0,Leasehold,4006 sqft,NA,3515 sqft
Property 1290,A nice property,76 Lac,7673779,Ahmedabad,3102 sqft,Resale,Ground,Under Construction,Semi-Furnished,East,Park,Society 8,4.0,,0.0,Leasehold,5381 sqft,NA,3974 sqft
Property 1291,A nice property,55 Lac,5579637,Ludhiana,2855 sqft,Resale,8,Ready to Move,Semi-Furnished,South,Park,Society 4,1.0,0.0,,Leasehold,2984 sqft,NA,3100 sqft
Property 1292,A nice property,90 Lac,9059586,Bangalore,4071 sqft,Resale,12,Under Construction,Unfurnished,East,NA,NA,5.0,3.0,0.0,Leasehold,1691 sqft,NA,1286 sqft
Property 1293,A nice property,48 Lac,4890971,Kochi,3684 sqft,Under Construction,22,Under Construction,Furnished,East,Main Road,Society 22,5.0,,3.0,Leasehold,2629 sqft,NA,1550 sqft
Property 1294,A nice property,48 Lac,4874664,Lucknow,3456 sqft,Ready,22,Ready to Move,Semi-Furnished,North,Main Road,Society 4,5.0,1.0,,Freehold,3883 sqft,NA,1659 sqft
Property 1295,A nice property,71 Lac,7174510,Chandigarh,4360 sqft,Resale,9,Under Construction,Furnished,North,Main Road,Society 43,,2.0,1.0,Leasehold,3869 sqft,NA,4796 sqft
Property 1296,A nice property,1.6 Cr,16289220,Mumbai,2664 sqft,Resale,22,Under Construction,Furnished,East,Main Road,Society 43,1.0,2.0,,Freehold,4688 sqft,NA,1905 sqft
Property 1297,A nice property,1.4 Cr,14251938,Bangalore,2387 sqft,Under Construction,8,Ready to Move,Semi-Furnished,East,Main Road,NA,4.0,3.0,2.0,Leasehold,2908 sqft,NA,989 sqft
Property 1298,A nice property,55 Lac,5548996,Visakhapatnam,4423 sqft,Under Construction,22,Ready to Move,Semi-Furnished,West,NA,NA,4.0,0.0,2.0,Freehold,5172 sqft,NA,684 sqft
Property 1299,A nice property,75 Lac,7530098,Bhopal,3075 sqft,Resale,Ground,Under Construction,Semi-Furnished,West,Main Road,Society 23,5.0,1.0,,Freehold,4967 sqft,NA,NA
Property 1300,A nice property,51 Lac,5102898,Surat,4865 sqft,Ready,25,Under Construction,Unfurnished,North,NA,Society 21,4.0,1.0,2.0,Leasehold,4193 sqft,NA,4259 sqft
Property 1301,A nice property,50 Lac,5050411,Hyderabad,3853 sqft,Under Construction,23,Under Construction,Furnished,West,Main Road,NA,4.0,3.0,3.0,Leasehold,4846 sqft,NA,NA
Property 1302,A nice property,27 Lac,2778695,Visakhapatnam,1438 sqft,Ready,Ground,Ready to Move,Semi-Furnished,North,NA,Society 48,3.0,,1.0,Leasehold,5650 sqft,NA,1371 sqft
Property 1303,A nice property,63 Lac,6350964,Chandigarh,660 sqft,Under Construction,19,Under Construction,Unfurnished,East,NA,Society 5,,,2.0,Leasehold,5476 sqft,NA,2498 sqft
Property 1304,A nice property,2.0 Cr,19732861,Delhi,4790 sqft,Under Construction,Ground,Under Construction,Semi-Furnished,South,Park,NA,3.0,2.0,,Leasehold,3901 sqft,NA,NA
Property 1305,A nice property,71 Lac,7139760,Delhi,3665 sqft,Ready,7,Under Construction,Semi-Furnished,South,NA,Society 19,5.0,1.0,3.0,Freehold,5635 sqft,NA,3058 sqft
Property 1306,A nice property,46 Lac,4688448,Indore,2915 sqft,Resale,Ground,Under Construction,Furnished,West,NA,Society 5,,,3.0,Leasehold,766 sqft,NA,4519 sqft
Property 1307,A nice property,56 Lac,5668287,Ludhiana,3045 sqft,Ready,14,Under Construction,Semi-Furnished,West,Park,Society 30,1.0,0.0,2.0,Freehold,4954 sqft,NA,1411 sqft
Property 1308,A nice property,1.1 Cr,10611168,Pune,1485 sqft,Resale,10,Ready to Move,Semi-Furnished,West,NA,Society 39,4.0,3.0,3.0,Leasehold,4623 sqft,NA,NA
Property 1309,A nice property,1.6 Cr,15503237,Delhi,4546 sqft,Resale,18,Under Construction,Furnished,West,NA,Society 18,4.0,2.0,2.0,Freehold,4945 sqft,NA,2883 sqft
Property 1310,A nice property,91 Lac,9163342,Pune,1122 sqft,Under Construction,13,Ready to Move,Furnished,South,NA,Society 23,5.0,,3.0,Leasehold,4172 sqft,NA,3610 sqft
Property 1311,A nice property,29 Lac,2924848,Jaipur,3354 sqft,Under Construction,24,Under Construction,Unfurnished,South,NA,Society 39,4.0,,1.0,Freehold,2600 sqft,NA,3554 sqft
Property 1312,A nice property,52 Lac,5215964,Ludhiana,2864 sqft,Under Construction,24,Under Construction,Unfurnished,North,Park,Society 37,5.0,,3.0,Freehold,5327 sqft,NA,2291 sqft
Property 1313,A nice property,37 Lac,3799340,Ghaziabad,3263 sqft,Resale,Ground,Under Construction,Semi-Furnished,West,NA,Society 39,,1.0,0.0,Freehold,1344 sqft,NA,1634 sqft
Property 1314,A nice property,70 Lac,7000773,Vadodara,2868 sqft,Resale,19,Ready to Move,Furnished,East,Park,Society 4,2.0,1.0,2.0,Freehold,3133 sqft,NA,1035 sqft
Property 1315,A nice property,29 Lac,2920328,Indore,2739 sqft,Ready,12,Under Construction,Furnished,West,Park,NA,2.0,,,Freehold,1701 sqft,NA,624 sqft
Property 1316,A nice property,58 Lac,5823202,Bhopal,3047 sqft,Ready,Ground,Under Construction,Unfurnished,North,Park,NA,5.0,3.0,1.0,Freehold,5117 sqft,NA,2227 sqft
Property 1317,A nice property,34 Lac,3421926,Ludhiana,2143 sqft,Ready,7,Under Construction,Furnished,North,Park,Society 45,3.0,1.0,0.0,Leasehold,2660 sqft,NA,3975 sqft
Property 1318,A nice property,59 Lac,5932592,Kochi,1828 sqft,Ready,Ground,Ready to Move,Semi-Furnished,West,Park,Society 28,2.0,0.0,3.0,Freehold,3350 sqft,NA,3018 sqft
Property 1319,A nice property,28 Lac,2802279,Lucknow,4837 sqft,Resale,10,Ready to Move,Furnished,West,Main Road,Society 43,3.0,3.0,2.0,Freehold,5484 sqft,NA,2810 sqft
Property 1320,A nice property,47 Lac,4765858,Chandigarh,2568 sqft,Resale,6,Under Construction,Furnished,West,NA,Society 14,1.0,1.0,,Freehold,1012 sqft,NA,4416 sqft
Property 1321,A nice property,41 Lac,4112525,Kochi,1065 sqft,Ready,Ground,Ready to Move,Furnished,West,NA,Society 50,2.0,,0.0,Leasehold,5805 sqft,NA,727 sqft
Property 1322,A nice property,64 Lac,6486241,Ludhiana,3910 sqft,Ready,3,Under Construction,Unfurnished,South,Park,Society 10,1.0,1.0,1.0,Leasehold,3037 sqft,NA,NA
Property 1323,A nice property,78 Lac,7815228,Surat,3218 sqft,Resale,14,Ready to Move,Furnished,West,Park,Society 12,2.0,1.0,2.0,Leasehold,5696 sqft,NA,1631 sqft
Property 1324,A nice property,72 Lac,7259690,Hyderabad,1746 sqft,Ready,21,Ready to Move,Unfurnished,West,Park,Society 47,,1.0,,Freehold,1133 sqft,NA,NA
Property 1325,A nice property,1.1 Cr,10935836,Hyderabad,808 sqft,Under Construction,14,Ready to Move,Unfurnished,South,Main Road,NA,4.0,3.0,2.0,Leasehold,3005 sqft,NA,NA
Property 1326,A nice property,34 Lac,3444141,Vadodara,4674 sqft,Resale,12,Ready to Move,Furnished,South,Park,NA,5.0,0.0,0.0,Leasehold,3084 sqft,NA,NA
Property 1327,A nice property,64 Lac,6487942,Kolkata,3021 sqft,Under Construction,5,Ready to Move,Semi-Furnished,East,Park,Society 49,5.0,1.0,,Freehold,2833 sqft,NA,1539 sqft
Property 1328,A nice property,27 Lac,2780155,Surat,2725 sqft,Under Construction,6,Ready to Move,Unfurnished,South,Park,Society 26,5.0,3.0,,Leasehold,4521 sqft,NA,3004 sqft
Property 1329,A nice property,36 Lac,3637642,Chandigarh,4028 sqft,Resale,4,Under Construction,Semi-Furnished,West,NA,Society 17,3.0,2.0,3.0,Freehold,2984 sqft,NA,3772 sqft
Property 1330,A nice property,44 Lac,4410256,Ahmedabad,3914 sqft,Resale,7,Under Construction,Unfurnished,North,Park,Society 1,3.0,3.0,3.0,Freehold,2225 sqft,NA,4375 sqft
Property 1331,A nice property,30 Lac,3019080,Surat,3780 sqft,Under Construction,2,Under Construction,Furnished,East,Main Road,Society 43,2.0,2.0,1.0,Freehold,4452 sqft,NA,4744 sqft
Property 1332,A nice property,39 Lac,3965228,Indore,889 sqft,Ready,25,Under Construction,Furnished,North,NA,NA,1.0,2.0,0.0,Leasehold,1136 sqft,NA,NA
Property 1333,A nice property,47 Lac,4799678,Chandigarh,2155 sqft,Ready,14,Under Construction,Unfurnished,West,NA,Society 42,4.0,3.0,1.0,Freehold,4408 sqft,NA,3379 sqft
Property 1334,A nice property,21 Lac,2197068,Bhopal,3411 sqft,Resale,20,Ready to Move,Furnished,South,Park,Society 8,1.0,1.0,3.0,Leasehold,1828 sqft,NA,4072 sqft
Property 1335,A nice property,35 Lac,3575627,Surat,2421 sqft,Under Construction,21,Under Construction,Unfurnished,South,Main Road,Society 1,4.0,1.0,,Leasehold,3667 sqft,NA,3004 sqft
Property 1336,A nice property,73 Lac,7383722,Hyderabad,4979 sqft,Under Construction,10,Ready to Move,Furnished,East,Park,Society 25,4.0,3.0,2.0,Freehold,3158 sqft,NA,2234 sqft
Property 1337,A nice property,43 Lac,4376078,Indore,4497 sqft,Resale,4,Ready to Move,Unfurnished,North,Main Road,Society 27,1.0,1.0,,Freehold,2933 sqft,NA,4168 sqft
Property 1338,A nice property,53 Lac,5374330,Surat,3536 sqft,Resale,11,Under Construction,Semi-Furnished,East,Park,Society 17,3.0,2.0,2.0,Leasehold,3514 sqft,NA,2875 sqft
Property 1339,A nice property,21 Lac,2103811,Indore,4755 sqft,Under Construction,8,Under Construction,Furnished,North,Park,NA,1.0,,,Leasehold,1933 sqft,NA,3615 sqft
Property 1340,A nice property,79 Lac,7986172,Jaipur,3059 sqft,Under Construction,22,Ready to Move,Furnished,East,NA,Society 29,,,1.0,Freehold,4635 sqft,NA,4163 sqft
Property 1341,A nice property,59 Lac,5971083,Nagpur,1992 sqft,Resale,1,Ready to Move,Unfurnished,West,Main Road,Society 7,4.0,3.0,0.0,Freehold,5293 sqft,NA,NA
Property 1342,A nice property,87 Lac,8720480,Pune,2083 sqft,Under Construction,25,Ready to Move,Furnished,West,Main Road,Society 1,,0.0,1.0,Leasehold,4074 sqft,NA,3865 sqft
Property 1343,A nice property,69 Lac,6972394,Visakhapatnam,3006 sqft,Ready,Ground,Under Construction,Unfurnished,East,NA,Society 27,3.0,0.0,0.0,Leasehold,1222 sqft,NA,828 sqft
Property 1344,A nice property,1.2 Cr,11976268,Delhi,1399 sqft,Resale,2,Ready to Move,Furnished,West,Park,Society 39,2.0,0.0,3.0,Freehold,1198 sqft,NA,1368 sqft
Property 1345,A nice property,1.9 Cr,19186079,Delhi,4456 sqft,Ready,17,Under Construction,Furnished,North,Park,NA,2.0,1.0,1.0,Freehold,5628 sqft,NA,2815 sqft
Property 1346,A nice property,1.6 Cr,15648550,Delhi,1648 sqft,Resale,13,Under Construction,Semi-Furnished,North,Park,Society 49,1.0,,1.0,Leasehold,3436 sqft,NA,890 sqft
Property 1347,A nice property,1.3 Cr,13472695,Delhi,2718 sqft,Resale,25,Under Construction,Semi-Furnished,North,NA,NA,4.0,3.0,3.0,Freehold,2768 sqft,NA,3417 sqft
Property 1348,A nice property,56 Lac,5699192,Surat,2099 sqft,Under Construction,16,Under Construction,Unfurnished,South,Main Road,NA,2.0,1.0,,Leasehold,4468 sqft,NA,1549 sqft
Property 1349,A nice property,94 Lac,9465406,Hyderabad,3349 sqft,Ready,11,Ready to Move,Semi-Furnished,East,Park,NA,,1.0,2.0,Freehold,2036 sqft,NA,1041 sqft
Property 1350,A nice property,57 Lac,5740077,Nagpur,1331 sqft,Under Construction,11,Ready to Move,Furnished,South,Park,Society 11,,1.0,0.0,Leasehold,5202 sqft,NA,4461 sqft
Property 1351,A nice property,85 Lac,8558706,Pune,2420 sqft,Ready,11,Under Construction,Semi-Furnished,East,Main Road,NA,3.0,1.0,1.0,Freehold,4593 sqft,NA,NA
Property 1352,A nice property,74 Lac,7416707,Vadodara,3510 sqft,Under Construction,Ground,Ready to Move,Furnished,East,NA,Society 8,2.0,1.0,2.0,Leasehold,2971 sqft,NA,NA
Property 1353,A nice property,1.1 Cr,10962252,Bangalore,2429 sqft,Resale,Ground,Under Construction,Semi-Furnished,East,Main Road,Society 43,4.0,,3.0,Leasehold,1149 sqft,NA,NA
Property 1354,A nice property,55 Lac,5589437,Ghaziabad,3115 sqft,Ready,Ground,Ready to Move,Furnished,East,Main Road,NA,4.0,2.0,3.0,Leasehold,4438 sqft,NA,3525 sqft
Property 1355,A nice property,78 Lac,7870739,Vadodara,4044 sqft,Ready,13,Ready to Move,Furnished,South,Park,Society 36,1.0,2.0,,Freehold,3301 sqft,NA,NA
Property 1356,A nice property,46 Lac,4644956,Vadodara,3314 sqft,Resale,12,Under Construction,Semi-Furnished,West,Main Road,NA,1.0,3.0,2.0,Leasehold,1440 sqft,NA,NA
Property 1357,A nice property,45 Lac,4554890,Indore,3644 sqft,Resale,Ground,Under Construction,Unfurnished,West,NA,NA,5.0,0.0,3.0,Freehold,5726 sqft,NA,1632 sqft
Property 1358,A nice property,82 Lac,8243759,Hyderabad,2734 sqft,Under Construction,Ground,Ready to Move,Furnished,West,Main Road,NA,5.0,2.0,1.0,Leasehold,2712 sqft,NA,1202 sqft
Property 1359,A nice property,65 Lac,6520166,Surat,3008 sqft,Ready,23,Ready to Move,Semi-Furnished,South,Main Road,NA,4.0,0.0,0.0,Freehold,5704 sqft,NA,NA
Property 1360,A nice property,31 Lac,3194621,Nagpur,4399 sqft,Under Construction,5,Under Construction,Furnished,South,Main Road,Society 21,3.0,1.0,3.0,Freehold,1715 sqft,NA,1415 sqft
Property 1361,A nice property,29 Lac,2963854,Surat,1564 sqft,Ready,4,Under Construction,Semi-Furnished,East,NA,Society 34,2.0,,3.0,Leasehold,2768 sqft,NA,1109 sqft
Property 1362,A nice property,1.5 Cr,14644997,Bangalore,4454 sqft,Ready,Ground,Ready to Move,Furnished,East,Main Road,NA,,3.0,0.0,Freehold,3827 sqft,NA,3826 sqft
Property 1363,A nice property,60 Lac,6097222,Lucknow,1039 sqft,Under Construction,23,Under Construction,Unfurnished,South,Main Road,Society 38,3.0,3.0,2.0,Leasehold,759 sqft,NA,NA
Property 1364,A nice property,38 Lac,3825956,Ludhiana,1183 sqft,Resale,8,Under Construction,Unfurnished,South,Main Road,Society 3,2.0,2.0,,Leasehold,2659 sqft,NA,4363 sqft
Property 1365,A nice property,71 Lac,7157235,Lucknow,4468 sqft,Resale,20,Ready to Move,Furnished,South,Park,NA,3.0,2.0,3.0,Freehold,4376 sqft,NA,3018 sqft
Property 1366,A nice property,66 Lac,6678534,Nagpur,2193 sqft,Under Construction,16,Under Construction,Furnished,East,Park,NA,1.0,0.0,1.0,Freehold,5173 sqft,NA,NA
Property 1367,A nice property,69 Lac,6967778,Hyderabad,4699 sqft,Resale,22,Ready to Move,Semi-Furnished,West,Park,Society 36,3.0,,3.0,Freehold,2079 sqft,NA,4485 sqft
Property 1368,A nice property,28 Lac,2886946,Ghaziabad,1581 sqft,Under Construction,21,Under Construction,Unfurnished,South,NA,Society 39,1.0,,1.0,Freehold,5278 sqft,NA,1437 sqft
Property 1369,A nice property,30 Lac,3066156,Kochi,3726 sqft,Resale,Ground,Ready to Move,Furnished,South,NA,Society 15,1.0,,,Freehold,953 sqft,NA,4817 sqft
Property 1370,A nice property,47 Lac,4767576,Kolkata,4940 sqft,Under Construction,Ground,Under Construction,Unfurnished,North,Main Road,Society 7,5.0,0.0,0.0,Freehold,2570 sqft,NA,NA
Property 1371,A nice property,89 Lac,8969050,Pune,3044 sqft,Under Construction,12,Under Construction,Furnished,East,Park,Society 16,2.0,2.0,3.0,Leasehold,3273 sqft,NA,1056 sqft
Property 1372,A nice property,62 Lac,6279058,Visakhapatnam,3984 sqft,Under Construction,Ground,Ready to Move,Unfurnished,West,Main Road,Society 2,4.0,0.0,3.0,Freehold,4090 sqft,NA,NA
Property 1373,A nice property,65 Lac,6557537,Ahmedabad,1042 sqft,Under Construction,Ground,Under Construction,Furnished,South,Park,Society 50,4.0,0.0,2.0,Leasehold,4986 sqft,NA,4547 sqft
Property 1374,A nice property,1.2 Cr,12214263,Hyderabad,1835 sqft,Resale,22,Ready to Move,Unfurnished,East,Main Road,Society 21,5.0,,0.0,Leasehold,5601 sqft,NA,4216 sqft
Property 1375,A nice property,59 Lac,5951647,Nagpur,1725 sqft,Ready,20,Ready to Move,Semi-Furnished,North,Main Road,Society 29,3.0,2.0,1.0,Leasehold,5691 sqft,NA,991 sqft
Property 1376,A nice property,43 Lac,4344577,Vadodara,2240 sqft,Resale,24,Under Construction,Unfurnished,East,NA,Society 11,4.0,2.0,0.0,Leasehold,1643 sqft,NA,NA
Property 1377,A nice property,23 Lac,2335426,Nagpur,3407 sqft,Ready,3,Ready to Move,Unfurnished,South,Main Road,Society 34,2.0,1.0,3.0,Freehold,852 sqft,NA,3137 sqft
Property 1378,A nice property,98 Lac,9894863,Hyderabad,3952 sqft,Under Construction,16,Under Construction,Furnished,East,Main Road,Society 1,3.0,1.0,2.0,Leasehold,5286 sqft,NA,4725 sqft
Property 1379,A nice property,24 Lac,2487244,Jaipur,4348 sqft,Ready,Ground,Under Construction,Semi-Furnished,West,Park,Society 28,2.0,0.0,1.0,Freehold,5998 sqft,NA,1989 sqft
Property 1380,A nice property,38 Lac,3828204,Ghaziabad,1773 sqft,Ready,Ground,Under Construction,Unfurnished,South,Park,Society 41,1.0,2.0,3.0,Freehold,3748 sqft,NA,1566 sqft
